Run,Total Cost,Total Plan
0,9.418149922411635,"[0.0, 0.0, 36.0, 24.0, 0.0, 0.0, 48.0, 8.0, 0.0, 12.0, 0.0, 0.0, 0.0, 48.0, 32.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 32.0, 24.0, 0.0, 0.0, 24.0, 0.0, 0.0, 36.0, 44.0, 12.0, 24.0, 0.0, 0.0, 0.0, 44.0, 0.0, 24.0, 0.0, 12.0, 0.0, 24.0, 12.0, 0.0, 0.0, 0.0, 0.0, 12.0, 48.0, 24.0, 12.0, 0.0, 36.0, 24.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 36.0, 44.0]"
1,9.401385263981084,"[0.0, 0.0, 56.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 32.0, 0.0, 0.0, 36.0, 0.0, 36.0, 0.0, 24.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 0.0, 24.0, 12.0, 72.0, 44.0, 24.0, 12.0, 24.0, 0.0, 8.0, 0.0, 0.0, 0.0, 8.0, 0.0, 12.0, 24.0, 0.0, 0.0, 36.0, 60.0, 16.0, 0.0, 0.0, 0.0, 0.0, 36.0, 0.0, 8.0, 0.0, 0.0, 24.0, 0.0, 0.0, 0.0, 0.0, 0.0, 72.0, 0.0, 48.0]"
2,8.993859091321314,"[0.0, 0.0, 0.0, 24.0, 0.0, 0.0, 0.0, 0.0, 12.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.0, 12.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.0, 90.0, 12.0, 36.0, 0.0, 0.0, 48.0, 24.0, 0.0, 24.0, 0.0, 0.0, 0.0, 24.0, 12.0, 36.0, 0.0, 30.0, 30.0, 36.0, 0.0, 36.0, 12.0, 0.0, 0.0, 0.0, 0.0, 24.0, 60.0, 0.0, 36.0, 24.0, 0.0, 0.0, 0.0, 0.0, 12.0, 48.0, 0.0, 0.0]"
3,10.260342442174586,"[0.0, 0.0, 54.0, 0.0, 0.0, 0.0, 24.0, 0.0, 12.0, 0.0, 24.0, 0.0, 0.0, 44.0, 20.0, 32.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 0.0, 0.0, 6.0, 48.0, 8.0, 24.0, 64.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 8.0, 24.0, 0.0, 6.0, 0.0, 0.0, 20.0, 24.0, 24.0, 24.0, 0.0, 0.0, 48.0, 42.0, 96.0, 0.0, 0.0, 48.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,10.171294586945962,"[0.0, 0.0, 24.0, 0.0, 0.0, 0.0, 8.0, 8.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 48.0, 24.0, 0.0, 36.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.0, 24.0, 20.0, 48.0, 20.0, 0.0, 24.0, 36.0, 32.0, 0.0, 0.0, 0.0, 0.0, 0.0, 48.0, 0.0, 32.0, 24.0, 0.0, 24.0, 48.0, 24.0, 32.0, 0.0, 0.0, 0.0, 24.0, 24.0, 32.0, 0.0, 0.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 0.0, 48.0]"
5,9.222994650289364,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.0, 12.0, 24.0, 48.0, 0.0, 0.0, 0.0, 32.0, 24.0, 24.0, 6.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.0, 0.0, 24.0, 12.0, 12.0, 24.0, 36.0, 24.0, 24.0, 0.0, 36.0, 0.0, 0.0, 0.0, 24.0, 12.0, 0.0, 26.0, 0.0, 24.0, 12.0, 44.0, 32.0, 8.0, 0.0, 0.0, 24.0, 12.0, 12.0, 14.0, 0.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 56.0, 0.0, 24.0]"
6,9.135405448884466,"[0.0, 0.0, 24.0, 24.0, 0.0, 0.0, 24.0, 0.0, 0.0, 48.0, 0.0, 0.0, 0.0, 12.0, 0.0, 24.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 68.0, 8.0, 48.0, 0.0, 24.0, 12.0, 0.0, 0.0, 24.0, 0.0, 0.0, 0.0, 48.0, 0.0, 12.0, 0.0, 24.0, 24.0, 0.0, 24.0, 48.0, 24.0, 0.0, 0.0, 36.0, 8.0, 0.0, 8.0, 0.0, 8.0, 60.0, 0.0, 0.0, 0.0, 0.0, 12.0, 48.0, 20.0, 24.0]"
7,10.954852841170045,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 36.0, 12.0, 12.0, 0.0, 0.0, 24.0, 24.0, 8.0, 24.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 12.0, 48.0, 24.0, 48.0, 52.0, 8.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 72.0, 8.0, 24.0, 16.0, 8.0, 36.0, 24.0, 24.0, 40.0, 0.0, 0.0, 0.0, 8.0, 48.0, 8.0, 12.0, 0.0, 28.0, 24.0, 0.0, 0.0, 0.0, 0.0, 0.0, 32.0, 0.0, 0.0]"
8,9.216817221377484,"[0.0, 0.0, 56.0, 24.0, 0.0, 0.0, 0.0, 0.0, 32.0, 24.0, 0.0, 0.0, 0.0, 56.0, 24.0, 24.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 0.0, 48.0, 8.0, 44.0, 0.0, 32.0, 24.0, 24.0, 12.0, 20.0, 0.0, 0.0, 0.0, 32.0, 0.0, 0.0, 0.0, 0.0, 0.0, 56.0, 24.0, 8.0, 24.0, 0.0, 0.0, 24.0, 0.0, 44.0, 24.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.0, 0.0, 12.0, 24.0]"
9,8.252482883188579,"[0.0, 0.0, 32.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.0, 8.0, 0.0, 0.0, 48.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 36.0, 8.0, 0.0, 24.0, 0.0, 24.0, 0.0, 24.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 24.0, 12.0, 8.0, 44.0, 56.0, 0.0, 8.0, 56.0, 24.0, 0.0, 0.0, 0.0, 68.0, 12.0, 44.0, 0.0, 24.0, 72.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.0, 0.0, 24.0]"
